Nacionalidades  ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afganistán  ,0  ,0  ,0  ,0  ,0  ,8  ,8  ,27  ,42  ,31  ,37  ,23  ,25  ,16  ,37  ,20  ,20  ,21  ,32  ,37  
Albania  ,0  ,0  ,6  ,7  ,10  ,34  ,75  ,98  ,77  ,58  ,57  ,66  ,55  ,60  ,68  ,63  ,73  ,98  ,111  ,117  
Alemania  ,77  ,66  ,96  ,123  ,160  ,657  ,1284  ,1183  ,1100  ,981  ,904  ,898  ,813  ,750  ,940  ,980  ,989  ,1240  ,1241  ,1244  
Andorra  ,5  ,5  ,11  ,5  ,15  ,5  ,19  ,14  ,43  ,41  ,39  ,76  ,56  ,39  ,57  ,71  ,69  ,51  ,54  ,40  
Angola  ,1  ,0  ,0  ,1  ,7  ,1  ,6  ,6  ,13  ,10  ,7  ,9  ,8  ,9  ,8  ,10  ,7  ,19  ,10  ,17  
Antigua y Barbuda  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,2  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,5  
Arabia Saudí  ,0  ,0  ,0  ,0  ,0  ,224  ,258  ,340  ,11  ,8  ,10  ,24  ,22  ,34  ,23  ,41  ,39  ,34  ,30  ,39  
Argelia  ,50  ,48  ,83  ,79  ,108  ,21  ,46  ,52  ,363  ,265  ,323  ,305  ,262  ,286  ,265  ,292  ,221  ,265  ,354  ,409  
Argentina  ,127  ,144  ,517  ,664  ,671  ,1619  ,2194  ,2261  ,1993  ,1524  ,1222  ,1128  ,804  ,961  ,1037  ,1208  ,1299  ,1885  ,2132  ,3314  
Armenia  ,10  ,19  ,16  ,37  ,51  ,282  ,363  ,483  ,375  ,231  ,196  ,186  ,193  ,187  ,243  ,243  ,225  ,274  ,184  ,192  
Australia  ,0  ,2  ,1  ,4  ,3  ,33  ,62  ,51  ,73  ,59  ,62  ,62  ,51  ,62  ,74  ,82  ,110  ,91  ,130  ,141  
Austria  ,5  ,3  ,13  ,12  ,8  ,87  ,135  ,128  ,133  ,95  ,99  ,118  ,75  ,87  ,104  ,116  ,114  ,126  ,135  ,151  
Azerbaiyán  ,0  ,1  ,0  ,1  ,2  ,4  ,5  ,7  ,20  ,10  ,5  ,17  ,27  ,21  ,37  ,46  ,36  ,39  ,21  ,42  
Bahamas  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,1  ,1  ,1  ,2  ,0  ,0  ,1  ,2  ,1  ,7  
Bahréin  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,14  ,1  ,3  ,3  
Bangladesh  ,11  ,14  ,24  ,31  ,54  ,346  ,395  ,455  ,615  ,676  ,670  ,620  ,723  ,501  ,451  ,593  ,623  ,815  ,1158  ,1179  
Barbados  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,1  ,2  ,1  ,0  ,0  ,1  ,2  ,1  ,1  ,1  ,0  ,1  
Belarús  ,0  ,0  ,4  ,2  ,20  ,38  ,47  ,67  ,58  ,49  ,60  ,48  ,56  ,71  ,94  ,74  ,104  ,97  ,97  ,102  
Bélgica  ,22  ,17  ,35  ,10  ,23  ,135  ,262  ,231  ,200  ,165  ,157  ,165  ,158  ,157  ,197  ,277  ,241  ,273  ,287  ,294  
Belice  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,0  ,0  ,0  ,1  ,1  
Benin  ,0  ,0  ,1  ,3  ,0  ,3  ,6  ,4  ,6  ,3  ,6  ,2  ,1  ,5  ,2  ,3  ,4  ,6  ,3  ,2  
Bhután  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,1  
Bolivia  ,19  ,43  ,123  ,281  ,553  ,2941  ,7911  ,6086  ,3046  ,2494  ,1937  ,1837  ,1559  ,1452  ,1238  ,1147  ,1007  ,1051  ,1103  ,1071  
Bosnia y Herzegovina  ,0  ,3  ,0  ,0  ,13  ,10  ,18  ,18  ,21  ,19  ,21  ,13  ,16  ,14  ,14  ,17  ,10  ,17  ,20  ,18  
Botswana  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,2  ,2  ,0  
Brasil  ,48  ,56  ,115  ,128  ,174  ,1464  ,2951  ,3556  ,2980  ,1774  ,1583  ,1464  ,1221  ,1065  ,1253  ,1410  ,1512  ,1757  ,1984  ,2158  
Bulgaria  ,7  ,16  ,48  ,61  ,76  ,237  ,356  ,528  ,366  ,348  ,365  ,366  ,345  ,266  ,272  ,282  ,292  ,265  ,229  ,248  
Burkina Faso  ,0  ,1  ,1  ,1  ,1  ,6  ,8  ,16  ,14  ,9  ,7  ,5  ,9  ,12  ,9  ,4  ,4  ,4  ,3  ,7  
Burundi  ,0  ,0  ,0  ,0  ,0  ,1  ,0  ,1  ,1  ,0  ,1  ,3  ,2  ,1  ,0  ,1  ,4  ,0  ,1  ,2  
Cabo Verde  ,0  ,0  ,0  ,1  ,0  ,0  ,0  ,3  ,8  ,4  ,5  ,8  ,0  ,1  ,1  ,2  ,4  ,1  ,4  ,2  
Camboya  ,0  ,0  ,0  ,0  ,0  ,0  ,0  ,2  ,4  ,0  ,0  ,3  ,1  ,0  ,0  ,1  ,0  ,4  ,3  ,2  
Camerún  ,8  ,7  ,5  ,11  ,23  ,36  ,60  ,60  ,71  ,68  ,45  ,62  ,56  ,56  ,46  ,42  ,37  ,42  ,56  ,70  
Canadá  ,4  ,7  ,2  ,4  ,5  ,74  ,80  ,92  ,112  ,137  ,130  ,155  ,148  ,160  ,166  ,175  ,195  ,197  ,226  ,272  
Chad  ,0  ,0  ,0  ,0  ,0  ,0  ,2  ,1  ,0  ,0  ,0  ,0  ,0  ,2  ,0  ,0  ,0  ,3  ,0  ,1  
Chile  ,53  ,70  ,133  ,153  ,204  ,908  ,1478  ,1452  ,1173  ,910  ,928  ,875  ,770  ,534  ,576  ,754  ,837  ,1072  ,1048  ,1294  
China  ,102  ,138  ,394  ,555  ,1040  ,2621  ,3375  ,4454  ,5262  ,3869  ,3418  ,3290  ,2879  ,2747  ,2811  ,3091  ,2959  ,3299  ,3394  ,3719  
Chipre  ,0  ,0  ,0  ,0  ,0  ,2  ,4  ,6  ,10  ,5  ,8  ,12  ,12  ,10  ,20  ,22  ,25  ,27  ,31  ,35  
